Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0123456789abcdeffedcba9876543210,n/a,n/a
0,0e3634aece7225b6f26b174ed92b5588,0f1571c947d9e8590cb7add6af7f6798,n/a
1,657470750fc7ff3fc0e8e8ca4dd02a9c,dc9037b09b49dfe997fe723f388115a7,n/a
2,5c7bb49a6b72349b05a2317ff46d1294,d2c96bb74980b45ede7ec661e6ffd3c6,n/a
3,7115262448dc747e5cdac7227da9bd9c,c0afdf39892f6b675751ad06b1ae7ec0,n/a
4,f867aee8b437a5210c24c1974cffeabc,2c5c65f1a5730e96f222a390438cdd50,n/a
5,721eb200ba06206dcbd4bce704fa654e,589d36ebfdee387d0fcc9bed4c4046bd,n/a
6,0ad9d85689f9f77bc1c5f71185e5fb14,71c74cc28c2974bf83e5ef52cfa5a9ef,n/a
7,db18a8ffa16d30d5f88b08d777ba4eaa,37149348bb3de7f738d808a5f77da14a,n/a
8,f91b4fbfe934c9bf8f2f85812b084989,48264520f31ba2d7cbc3aa723cbe0b38,n/a
9,cca104a13e678500ff59025f3bafaa34,fd0d42cb0e16e01cc5d54a6ef96b4156,n/a
10,ff0b844a0853bf7c6934ab4364148fb9,b48ef352ba98134e7f4d592086261876,n/a
