Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0123456789abcdeffedcba9876543210,n/a,0
0,0f2725bedf6224b6f26b174ed92b5588,0e0460d956c9e9590cb7add6af7f6798,10
1,e07756f37f992484f780b6fd1443e14c,dd8126a08b48cff987ff622f288005b7,65
2,8537675e9fefa32f0e96c8efbfd8b88b,12ea8f9499a2406d1e5d224236dd27f5,67
3,4d0aad7e7c8852c62e31ef9616e2d066,d72669914e8429fc50d90bbe66042c4b,66
4,4b6e0de19235ca24c300a7cde2175f3e,2d57daa263d3f35e330af8e0550ed4ab,57
5,a4cde825f9f7f196704782d9cb545472,961fb85ef5cc4b00c6c6b3e093c8674b,74
6,2776cca266cb78cca4a7041188eb307e,5e9a0b82ab5640826d90f362fe589429,66
7,d7b48c666353c7c20068f636a9cf8b3c,74b8ae39dfeeeebbb27e1dd94c2689f0,71
8,9afd6360f0f45da36c6a9f73d02f9ead,031f2210dcf1ccab6e8fd17222a95882,65
9,344b3f05c9c10e15176d9a5084214255,cb7531831784fd28790b2c5a5ba274d8,68
10,df9fe8460d5f81f95995f491ad795e43,c7e750bad063ad92a96881c8f2caf510,56
