Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 128)
PT,0032556789abcdeffedcba9876543210,n/a,4
0,0f2724aece7225b6f26b174ed92b5588,0f1571c947d9e8590cb7add6af7f6798,4
1,c4a9ad090fc7ff3fee9ab4e40d59e355,dc9037b09b49dfe997fe723f388115a7,48
2,ca32af3b66af5b6f280a8bad42c640b3,d2c96bb74980b45ede7ec661e6ffd3c6,67
3,f3031f3bad2b108329353cdc201aa79f,c0afdf39892f6b675751ad06b1ae7ec0,77
4,0e5522518bd78827726f10c5f70e0f34,2c5c65f1a5730e96f222a390438cdd50,67
5,d57734f9c3d3295d36a30296e13ab06a,589d36ebfdee387d0fcc9bed4c4046bd,69
6,a893c1d2b0b83509469f8e5d15c85e97,71c74cc28c2974bf83e5ef52cfa5a9ef,53
7,8dad8c6bf52aaf37d6c049d9e06ac773,37149348bb3de7f738d808a5f77da14a,60
8,7268011c48bce864c407233a0dd0d286,48264520f31ba2d7cbc3aa723cbe0b38,62
9,b0a9e7c0d78db9b952ee1bc0980065f1,fd0d42cb0e16e01cc5d54a6ef96b4156,73
10,53d35cf3b4b05ef47f2ecd76c0f54ecc,b48ef352ba98134e7f4d592086261876,62
