Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,02468aceeca86420,n/a,0
1,3cf03c0f98c628c4,7833c324da30,6
2,98c628c4d66d4cbd,2b1a748a4898,25
3,d66d4cbd7a7c7c1f,8c78d8c15315,33
4,7a7c7c1f0b3abf0d,1667789302a8,30
5,0b3abf0da9be5f07,ce5d01d01b05,30
6,a9be5f07e13bd965,4bab4d1222bc,31
7,e13bd965c1b116eb,09f48b713981,30
8,c1b116ebccbc7a4c,710dea22203b,27
9,ccbc7a4c42f144fd,129ab8b245c3,30
10,42f144fd8ff36796,9c38660e8303,36
11,8ff36796fe31673c,a26e4cd66540,36
12,fe31673c35148bac,487724688348,29
13,35148bac650cec33,c09d79d0f40a,29
14,650cec33575480ae,c5e2636c1628,32
15,575480aedd39c119,a3df8298786a,31
16,facbd283dd39c119,a6120b494d25,32
IP-1,bb5580f2e660dcdd,n/a,32
