Round,Hexadecimal Comparison,Round Key,Bits Difference (Size 64)
0,13579aceeca86420,n/a,5
1,3cf03c0fbad52846,7833c320da70,5
2,bad52846b9ab2fe1,2b1a74ca48d8,14
3,b9ab2fe1be9e86b3,8c78d881d31d,26
4,be9e86b32446cfa0,1667789316a0,33
5,2446cfa0050905c7,ce5d01d80b25,36
6,050905c798f726fd,4bab4d126a9c,37
7,98f726fd192ce061,09f48b713191,36
8,192ce061dd7ab7ce,710deaa3202b,34
9,dd7ab7ce0b9ec840,129ab83347c3,29
10,0b9ec840b0b99eaf,9c38661e8103,27
11,b0b99eaf52e83a32,a26e4cc66544,32
12,52e83a327dc21f95,48772468a3c8,34
13,7dc21f9572333ab6,c09d79f0d40b,31
14,72333ab6be36fef2,c5e2634e162a,30
15,be36fef226b4d65c,a3df829c7968,31
16,b67a83e026b4d65c,a6120b4d4c25,36
IP-1,04dcea127af11b6d,n/a,36
