Round,Bit Difference,Hexadecimal
0,0.0,6162636465666768696a6b6c6d6e6f01
1,13.28,696a6b6c6d6e6f01f04dcbe54d8d43c2
2,38.28,f04dcbe54d8d43c2184871f4747e08f0
3,50.0,184871f4747e08f075b964286d176165
4,47.66,75b964286d1761657f40fc152b8764b3
5,51.56,7f40fc152b8764b33b30aa1a3772795c
6,51.56,3b30aa1a3772795c562f08ed3e938e81
7,50.78,562f08ed3e938e81a7d9c5c67e451840
8,56.25,a7d9c5c67e45184039c49a08557200db
9,53.91,39c49a08557200db2ab5582a98a122fa
10,53.12,2ab5582a98a122fa3c634f11db1c9a76
11,48.44,3c634f11db1c9a7666ffc99c9422e1a9
12,42.97,66ffc99c9422e1a97346a28c7695ef49
13,48.44,7346a28c7695ef494fbc887da6d73f4d
14,51.56,4fbc887da6d73f4d3f7ffb3199f7e4c4
15,46.88,3f7ffb3199f7e4c4ebc8598b85dda78a
16,45.31,ebc8598b85dda78a1d0d89d3b9d6c321
