Round,Bit Difference,Hexadecimal
0,0.0,6162636465666768696a6b6c6d6e6f01
1,32.81,696a6b6c6d6e6f01e08d1b956dcdf372
2,48.44,e08d1b956dcdf372cd5827ed06a09c6f
3,54.69,cd5827ed06a09c6f13499c8b760c15f4
4,56.25,13499c8b760c15f4b3ed79b22d1542ef
5,53.12,b3ed79b22d1542efe1a0b7ab91cc82ba
6,46.88,e1a0b7ab91cc82baf55e2fbf0cbae9e0
7,46.09,f55e2fbf0cbae9e05a8a2b54fa83ef72
8,46.09,5a8a2b54fa83ef729ccf67de0f833c11
9,54.69,9ccf67de0f833c11a4f4fc0a574cddc2
10,54.69,a4f4fc0a574cddc2db9ea01571c00816
11,50.78,db9ea01571c008163326bb9eacacf94d
12,51.56,3326bb9eacacf94de3b523bb4090bd02
13,50.0,e3b523bb4090bd02d737e7281a4d6225
14,53.12,d737e7281a4d62255b8d992f2f2510fc
15,53.12,5b8d992f2f2510fcae4cda64b41be2eb
16,53.12,ae4cda64b41be2eb3a0de0368e98f14c
